i,IDA Return Value,t,y[0],y[1],y[2],y[3],y[4],y[5],y[6],y[7],y[8],y[9],y[10],y[11],y[12],y[13],y[14],y[15],y[16],y[17],y[18],y[19],y[20],y[21],y[22],y[23],y[24]
45,0,0.1875,0.553981792131619,-1.063777226582381e-07,0.9954725971108878,0.9712997427688322,0.3068792085994145,-1.684079887642622e-50,-0.2805752764337503,0.985803455374066,1.024954142978279,0,0.2805752465867898,0.9858033505065398,0.9999917873010634,0.4834529038583925,0.8767943046331024,0.999991680924217,0.0501158753985101,0.9999995777022623,1.914050274100913,1.555542614771003,-5.477597527157869,0.994988412460149,0.09999916809242164,1,0
46,0,0.1916666666666667,0.5539816301828495,-1.008371404416442e-07,0.9954726055623563,0.9712997644190878,0.3068791102060645,-1.674749432942407e-50,-0.2805751864741159,0.9858034691050493,1.024954136993508,0,0.2805751581817147,0.9858033696994469,0.9999915160590845,0.4834526681270051,0.8767941284829807,0.9999914152228027,0.05011582125678268,0.9999995777022623,1.914050274100913,1.555542201457692,-5.477597611378333,0.9949884178743217,0.09999914152228023,1,0
47,0,0.1958333333333333,0.5539814759630363,-9.514640500584004e-08,0.995472614241552,0.9712997859648606,0.306879014339994,-1.665470828570765e-50,-0.2805750988251373,0.9858034829308758,1.024954126241121,0,0.2805750721294244,0.9858033891352188,0.9999912651933909,0.4834524477848187,0.8767939674048313,0.9999911700478232,0.05011576968573711,0.9999995777022623,1.914050274100913,1.555541820074391,-5.47759769159996,0.9949884230314262,0.09999911700478227,1,0
48,0,0.2,0.5539813309756396,-8.929825553132215e-08,0.9954726231843121,0.9712998072845704,0.3068789220413261,-1.656243628326779e-50,-0.2805750144377837,0.9858034968244158,1.024954114527001,0,0.2805749893829246,0.9858034087938836,0.9999910370587557,0.4834522455851524,0.8767938225615622,0.9999909477613097,0.05011572045893885,0.9999995777022623,1.914050274100913,1.55554147429537,-5.47759776817498,0.994988427954106,0.09999909477613092,1,0
49,0,0.2041666666666667,0.5539811955999071,-8.330676658116698e-08,0.9954726323784486,0.9712998283284496,0.3068788335472007,-1.647067537094786e-50,-0.280574933528869,0.9858035107584494,1.02495410159899,0,0.28057491015508,0.9858034286343467,0.9999908322809667,0.4834520620937916,0.8767936943448175,0.9999907489749754,0.05011567368049979,0.9999995777022623,1.914050274100913,1.555541165072184,-5.477597840941442,0.99498843263195,0.09999907489749751,1,0
50,0,0.2083333333333333,0.5539810702150857,-7.718601271845086e-08,0.9954726418117743,0.9712998490467304,0.306878749094758,-1.63794225975912e-50,-0.2805748563152072,0.9858035247057569,1.024954087204929,0,0.2805748346587556,0.9858034486155137,0.9999906514858121,0.4834518978765222,0.8767935831462401,0.9999905743005341,0.05011562945453182,0.9999995777022623,1.914050274100913,1.555540893356386,-5.477597909737393,0.9949884370545469,0.0999990574300534,1,0
51,0,0.2125,0.5539809552004226,-7.095006850625038e-08,0.9954726514721013,0.9712998693896451,0.3068786689211382,-1.628867501204118e-50,-0.2805747830136121,0.9858035386391188,1.02495407109266,0,0.2805747631068161,0.9858034686962902,0.9999904952990797,0.4834517534991299,0.8767934893574739,0.9999904243496989,0.05011558788514681,0.9999995777022623,1.914050274100913,1.555540660099532,-5.477597974400884,0.9949884412114853,0.09999904243496986,1,0
52,0,0.2166666666666667,0.5539808509351646,-6.461300850764185e-08,0.9954726613472421,0.9712998893074256,0.3068785932634813,-1.619842966314114e-50,-0.2805747138408973,0.9858035525313154,1.024954053010023,0,0.2805746957121262,0.9858034888355819,0.9999903643465573,0.4834516295274004,0.8767934133701624,0.9999902997341831,0.05011554907645663,0.9999995777022623,1.914050274100913,1.555540466253174,-5.47759803476996,0.9949884450923543,0.09999902997341831,1,0
53,0,0.2208333333333333,0.5539807572282818,-5.819594847475289e-08,0.9954726714087664,0.9712999087793664,0.306878522090264,-1.610868401277793e-50,-0.2805746487682415,0.9858035663570061,1.024954035079945,0,0.2805746324399401,0.9858035089872322,0.9999902579954503,0.4834515254374551,0.8767933547282597,0.9999901998000776,0.05011551304292446,0.9999995777022623,1.914050274100913,1.555540310800121,-5.477598090822124,0.9949884486957076,0.09999901998000778,1,0
54,0,0.225,0.5539806712150841,-5.175301570762237e-08,0.9954726815520925,0.9712999279210165,0.3068784541103741,-1.601943745933013e-50,-0.2805745866151992,0.9858035800996616,1.024954030560573,0,0.2805745720946257,0.985803529081353,0.9999901697122897,0.48345143559669,0.8767933090014572,0.9999901179597944,0.05011547937870895,0.9999995777022623,1.914050274100913,1.555540183493014,-5.477598143188681,0.9949884520621292,0.09999901179597946,1,0
55,0,0.2291666666666667,0.5539805954801508,-4.527105564078751e-08,0.9954726918278447,0.9712999465702205,0.3068783905999065,-1.593068545435207e-50,-0.280574528548486,0.9858035937247946,1.024954030015011,0,0.2805745158465888,0.9858035490964249,0.9999901049899549,0.483451364784754,0.8767932798595157,0.9999900597193617,0.05011544853460443,0.9999995777022623,1.914050274100913,1.555540092896785,-5.477598191168399,0.9949884551465394,0.09999900597193619,1,0
56,0,0.2333333333333333,0.5539805302142113,-3.876647045232682e-08,0.9954727022184667,0.9712999646868176,0.3068783317071886,-1.584242518322744e-50,-0.2805744747037154,0.9858036072058068,1.024954033976234,0,0.2805744638268413,0.9858035689896798,0.999990064038182,0.4834513132072211,0.8767932674138563,0.9999900252721142,0.05011542058508751,0.9999995777022623,1.914050274100913,1.555540039312178,-5.477598234645424,0.9949884579414913,0.09999900252721146,1,0
57,0,0.2375,0.5539804756079957,-3.225566232031898e-08,0.9954727127064014,0.9712999822306474,0.3068782775805483,-1.57546538313399e-50,-0.2805744252165014,0.9858036205160996,1.02495404297722,0,0.2805744161663949,0.9858035887183504,0.999990047066708,0.4834512810696651,0.8767932717759015,0.9999900148113873,0.05011539560463479,0.9999995777022623,1.914050274100913,1.555540023039936,-5.477598273503904,0.9949884604395366,0.09999900148113873,1,0
58,0,0.2416666666666667,0.5539804318522336,-2.575503342284249e-08,0.9954727232740915,0.9712999991615491,0.3068782283683131,-1.566736858407314e-50,-0.2805743802224577,0.9858036336290745,1.024954057550943,0,0.2805743729962614,0.9858036082396686,0.9999900542852694,0.4834512685776603,0.8767932930570725,0.9999900285305152,0.05011537366772282,0.9999995777022623,1.914050274100913,1.555540044380802,-5.477598307627987,0.9949884626332279,0.09999900285305152,1,0
59,0,0.2458333333333333,0.5539803991376545,-1.928098593797603e-08,0.9954727339039804,0.9713000154393621,0.3068781842188107,-1.558056662681083e-50,-0.2805743398571983,0.9858036465181335,1.024954078230381,0,0.2805743344474525,0.9858036275108669,0.9999900859036027,0.4834512759367805,0.8767933313687913,0.9999900666228333,0.05011535484882821,0.9999995777022623,1.914050274100913,1.555540103635518,-5.47759833690182,0.9949884645151174,0.09999900666228334,1,0
60,0,0.25,0.5539803776549888,-1.284992204379811e-08,0.9954727445785109,0.9713000310239256,0.3068781452803688,-1.549424514493664e-50,-0.280574304256337,0.9858036591566776,1.024954105548508,0,0.2805743006509801,0.9858036464891773,0.9999901421314445,0.4834513033525998,0.8767933868224796,0.9999901292816765,0.05011533922242753,0.9999995777022623,1.914050274100913,1.555540201104829,-5.477598361209548,0.9949884660777575,0.09999901292816762,1,0
61,0,0.2541666666666667,0.5539803642864564,-6.468677221249831e-09,0.995472755249729,0.9713000460633298,0.306878110354789,-1.540840307725248e-50,-0.2805742723243783,0.9858036715751701,1.024954116291521,0,0.2805742705094343,0.9858036651983244,0.9999902153751172,0.4834513450532335,0.8767934538671542,0.9999902089065323,0.0501153256604884,0.9999995777022623,1.914050274100913,1.555540324965716,-5.477598382305898,0.9949884674339515,0.09999902089065318,1,0
